class,retro_templates
UNK,[C:6]-[N;H0;D3;+0:7](-[C:8])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4]-[c:5]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4]-[c:5].[C:6]-[NH;D2;+0:7]-[C:8]
UNK,[#16;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]:[#7;a:7]>>Br-[c;H0;D3;+0:1](:[#16;a:2]):[c:3].C-C1(-C)-O-B(-[c;H0;D3;+0:4](:[c:5]):[c:6]:[#7;a:7])-O-C-1(-C)-C
UNK,[#8:3]-[C:2](=[O;D1;H0:4])-[CH2;D2;+0:1]-[C;H0;D4;+0:6](-[C:5])(-[C:7])-[OH;D1;+0:8]>>Br-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4].[C:5]-[C;H0;D3;+0:6](-[C:7])=[O;H0;D1;+0:8]
UNK,[#7:5]-[C:6]-[C@H;D3;+0:7](-[C:8])-[C:9]-[NH;D2;+0:10]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[#7:5]-[C:6]-[C@H;D3;+0:7](-[C:8])-[C:9]-[NH2;D1;+0:10]
UNK,[#7;a:6]:[c:5]1:[#7;a:4]:[#7;a:3]:[c:2]:[c;H0;D3;+0:1]:1-[c;H0;D3;+0:7](:[c:8]):[c:9]>>I-[c;H0;D3;+0:1]1:[c:2]:[#7;a:3]:[#7;a:4]:[c:5]:1:[#7;a:6].O-B(-O)-[c;H0;D3;+0:7](:[c:8]):[c:9]
UNK,[C;D1;H3:2]-[S;H0;D4;+0:1](=[O;D1;H0:3])(=[O;D1;H0:4])-[NH;D2;+0:5]-[C:6]=[O;D1;H0:7]>>Cl-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4].[NH2;D1;+0:5]-[C:6]=[O;D1;H0:7]
UNK,[C:4]-[c;H0;D3;+0:3]1:[c;H0;D3;+0:1](-[OH;D1;+0:2]):[c;H0;D3;+0:9](:[c:10]):[c:8]:[n;H0;D2;+0:7]:[c;H0;D3;+0:5]:1-[C;D1;H3:6]>>C-C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[CH;D3;+0:3](-[C:4])-[C;H0;D3;+0:5](=O)-[C;D1;H3:6].[NH2;D1;+0:7]-[c:8]:[cH;D2;+0:9]:[c:10]
UNK,[#7;a:6]:[c:5]1:[#7;a:4]:[c:3]:[c:2]:[c;H0;D3;+0:1](-[c;H0;D3;+0:8](:[c:9]):[c:10]):[c:7]:1>>Br-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5](:[#7;a:6]):[c:7]:1.C-C1(-C)-O-B(-[c;H0;D3;+0:8](:[c:9]):[c:10])-O-C-1(-C)-C
UNK,[#8:3]-[C:4](=[O;D1;H0:5])-[C:6]-[N;H0;D3;+0:7](-[C:8])-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[#8:3]-[C:4](=[O;D1;H0:5])-[C:6]-[NH;D2;+0:7]-[C:8]
UNK,[C:3]-[O;H0;D2;+0:4]-[CH2;D2;+0:1]-[C;D1;H3:2]>>Br-[CH2;D2;+0:1]-[C;D1;H3:2].[C:3]-[OH;D1;+0:4]
UNK,[#16:5]-[N;H0;D3;+0:6](-[c:7])-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4]>>Br-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4].[#16:5]-[NH;D2;+0:6]-[c:7]
UNK,[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[C;H0;D2;+0:5]#[N;D1;H0:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].[C-;H0;D1:5]#[N;D1;H0:6]
UNK,[#7;a:5]:[c:4]:[c:3](:[c:6]:[#7;a:7]):[c;H0;D3;+0:1](:[c:2])-[O;H0;D2;+0:9]-[C:8]>>O-[c;H0;D3;+0:1](:[c:2]):[c:3](:[c:4]:[#7;a:5]):[c:6]:[#7;a:7].[C:8]-[OH;D1;+0:9]
UNK,[#7;a:5]:[c:4]:[c:3]1:[c:6]:[n;H0;D2;+0:7]:[cH;D2;+0:8]:[nH;D2;+0:9]:[c;H0;D3;+0:1]:1=[O;D1;H0:2]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[c:4]:[#7;a:5]):[c:6]-[NH2;D1;+0:7].O=[CH;D2;+0:8]-[NH2;D1;+0:9]
UNK,[#8:1]-[C:2](=[O;D1;H0:3])-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[O;H0;D2;+0:7]-[C:6]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[CH2;D1;+0:5].[C:6]-[OH;D1;+0:7]
UNK,[#7;a:4]:[c:5](:[#7;a:6])-[NH;D2;+0:7]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>C-C(-C)-C(=O)-O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#7;a:4]:[c:5](:[#7;a:6])-[NH2;D1;+0:7]
UNK,[C:4]-[C@H;D3;+0:5](-[C:6])-[NH;D2;+0:7]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[C@@H;D3;+0:5](-[C:6])-[NH2;D1;+0:7]
UNK,[#7;a:4]:[#7;a:3]:[c;H0;D3;+0:1](:[c:2])-[S;H0;D2;+0:6]-[C:5]>>Cl-[c;H0;D3;+0:1](:[c:2]):[#7;a:3]:[#7;a:4].[C:5]-[SH;D1;+0:6]
UNK,[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[#7;a:2])-[c;H0;D3;+0:5](:[c:6]):[c:7]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4].O-B(-O)-[c;H0;D3;+0:5](:[c:6]):[c:7]
UNK,[N;D1;H0:3]#[C:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:6]-[C:5]=[O;D1;H0:4]>>Br-[CH2;D2;+0:1]-[C:2]#[N;D1;H0:3].[O;D1;H0:4]=[C:5]-[OH;D1;+0:6]
UNK,[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[n;H0;D3;+0:5](:[c:4]):[c:6]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[c:4]:[nH;D2;+0:5]:[c:6]
UNK,[C:4]-[N;H0;D3;+0:5](-[C:6]-[C@@H;D3;+0:7](-[C:8])-[#7:9]-[C:10]=[O;D1;H0:11])-[CH2;D2;+0:1]-[C:2]=[O;D1;H0:3]>>Br-[CH2;D2;+0:1]-[C:2]=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[C:6]-[C@@H;D3;+0:7](-[C:8])-[#7:9]-[C:10]=[O;D1;H0:11]
UNK,[#16:2]-[C:3](=[#7:4])-[N;H0;D3;+0:5](-[CH3;D1;+0:1])-[C:6]=[O;D1;H0:7]>>I-[CH3;D1;+0:1].[#16:2]-[C:3](=[#7:4])-[NH;D2;+0:5]-[C:6]=[O;D1;H0:7]
UNK,[#8:3]-[C:2](-[#8:4])-[CH2;D2;+0:1]-[n;H0;D3;+0:8]1:[c:7]:[c:6]:[#7;a:5]:[c:9]:1>>Br-[CH2;D2;+0:1]-[C:2](-[#8:3])-[#8:4].[#7;a:5]1:[c:6]:[c:7]:[nH;D2;+0:8]:[c:9]:1
UNK,[OH;D1;+0:4]-[CH;D3;+0:5](-[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>[Mg+]-[c;H0;D3;+0:1](:[c:2]):[c:3].[O;H0;D1;+0:4]=[CH;D2;+0:5]-[c:6]
UNK,[F;D1;H0:8]-[C:7](-[F;D1;H0:9])(-[F;D1;H0:10])-[C;H0;D4;+0:4](-[F;D1;H0:5])(-[F;D1;H0:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].I-[C;H0;D4;+0:4](-[F;D1;H0:5])(-[F;D1;H0:6])-[C:7](-[F;D1;H0:8])(-[F;D1;H0:9])-[F;D1;H0:10]
UNK,[C:3]-[N;H0;D3;+0:4](-[C:5])-[CH2;D2;+0:1]-[c:2]>>O-[CH2;D2;+0:1]-[c:2].[C:3]-[NH;D2;+0:4]-[C:5]
UNK,[O;D1;H0:12]=[C:11]1-[#7:10]-[C:9]-[C@@H;D3;+0:8]2-[C:7]-[C:6](-[NH;D2;+0:5]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4])-[C:14]-[C@H;D3;+0:13]-1-2>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[NH2;D1;+0:5]-[C:6]1-[C:7]-[CH;D3;+0:8]2-[C:9]-[#7:10]-[C:11](=[O;D1;H0:12])-[CH;D3;+0:13]-2-[C:14]-1
UNK,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:5]-[C:4]>>Br-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH2;D1;+0:5]
UNK,[#7;a:11]:[c;H0;D3;+0:12](:[c:13])-[n;H0;D3;+0:14]1:[n;H0;D2;+0:15]:[c;H0;D3;+0:3](-[C:4](-[F;D1;H0:5])(-[F;D1;H0:6])-[F;D1;H0:7]):[cH;D2;+0:2]:[c;H0;D3;+0:1]:1-[c;H0;D3;+0:8](:[#8;a:9]):[c:10]>>O=[C;H0;D3;+0:1](-[CH2;D2;+0:2]-[C;H0;D3;+0:3](=O)-[C:4](-[F;D1;H0:5])(-[F;D1;H0:6])-[F;D1;H0:7])-[c;H0;D3;+0:8](:[#8;a:9]):[c:10].[#7;a:11]:[c;H0;D3;+0:12](:[c:13])-[NH;D2;+0:14]-[NH2;D1;+0:15]
UNK,[#7;a:4]:[c:5]:[c:6]-[NH;D2;+0:7]-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[#7;a:4]:[c:5]:[c:6]-[NH2;D1;+0:7]
UNK,[C:2]-[C;H0;D3;+0:1](=[CH2;D1;+0:4])-[c:3]>>O=[C;H0;D3;+0:1](-[C:2])-[c:3].[CH3;D1;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1
UNK,[#7;a:2]:[c;H0;D3;+0:1](-[N;H0;D3;+0:10](-[C:9])-[C:11]=[O;D1;H0:12]):[c:3]1:[c:4]:[#7;a:5]:[#7;a:6]:[c:7]:1:[#7;a:8]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]1:[c:4]:[#7;a:5]:[#7;a:6]:[c:7]:1:[#7;a:8].[C:9]-[NH;D2;+0:10]-[C:11]=[O;D1;H0:12]
UNK,[#16;a:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[#16;a:2]):[c:3]>>C-C-C-C-[Sn](-C-C-C-C)(-C-C-C-C)-[c;H0;D3;+0:1](:[#16;a:2]):[c:3].I-[c;H0;D3;+0:4](:[#16;a:5]):[c:6]
UNK,[#7:5]=[C:6](-[#7:7])-[N;H0;D3;+0:8](-[C:9])-[CH2;D2;+0:1]-[c:2]:[c:3]:[#7;a:4]>>Cl-[CH2;D2;+0:1]-[c:2]:[c:3]:[#7;a:4].[#7:5]=[C:6](-[#7:7])-[NH;D2;+0:8]-[C:9]
UNK,[#7:6]-[C:5]-[C@@H;D3;+0:3](-[c:4])-[C@H;D3;+0:1](-[C:2])-[N;H0;D3;+0:8](-[C:7])-[C:9]>>O=[C;H0;D3;+0:1](-[C:2])-[CH;D3;+0:3](-[c:4])-[C:5]-[#7:6].[C:7]-[NH;D2;+0:8]-[C:9]
UNK,[C:2]1-[CH2;D2;+0:1]-[O;H0;D2;+0:3]-1>>Br-[CH2;D2;+0:1]-[C:2]-[OH;D1;+0:3]
UNK,[#7;a:5]:[#16;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[B;H0;D3;+0:6](-[#8:7])-[#8:8]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#16;a:4]:[#7;a:5].C-C1(-C)-O-B(-[B;H0;D3;+0:6](-[#8:7])-[#8:8])-O-C-1(-C)-C
UNK,[C:3]#[C:2]-[CH2;D2;+0:1]-[n;H0;D3;+0:7]1:[c:6]:[c:5]:[#7;a:4]:[c:8]:1>>Br-[CH2;D2;+0:1]-[C:2]#[C:3].[#7;a:4]1:[c:5]:[c:6]:[nH;D2;+0:7]:[c:8]:1
UNK,[C;D1;H3:1]-[N;H0;D3;+0:2](-[N;D1;H2:3])-[C;H0;D3;+0:5](=[S;D1;H0:4])-[NH;D2;+0:6]-[c:7]>>[C;D1;H3:1]-[NH;D2;+0:2]-[N;D1;H2:3].[S;D1;H0:4]=[C;H0;D2;+0:5]=[N;H0;D2;+0:6]-[c:7]
UNK,[C;D1;H3:4]-[N;H0;D3;+0:5](-[C;D1;H3:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3].[C;D1;H3:4]-[NH;D2;+0:5]-[C;D1;H3:6]
UNK,[#16;a:4]:[c:3](:[c:5](:[#7;a:6]):[#7;a:7]):[c;H0;D3;+0:1](:[#7;a:2])-[NH;D2;+0:10]-[C@H;D3;+0:9](-[C;D1;H3:8])-[C:11](-[N;D1;H2:12])=[O;D1;H0:13]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3](:[#16;a:4]):[c:5](:[#7;a:6]):[#7;a:7].[C;D1;H3:8]-[C@@H;D3;+0:9](-[NH2;D1;+0:10])-[C:11](-[N;D1;H2:12])=[O;D1;H0:13]
UNK,[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4]1:[#7;a:5]:[#7;a:6]:[c:7]:[c:8]:1>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-C1(-C)-O-B(-[c;H0;D3;+0:4]2:[#7;a:5]:[#7;a:6]:[c:7]:[c:8]:2)-O-C-1(-C)-C
UNK,[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](=[O;D1;H0:2])/[C:3]=[C:4](\[c:5])-[c:6]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])/[C:3]=[C:4](\[c:5])-[c:6].[C:7]-[NH2;D1;+0:8]
UNK,[O;D1;H0:8]=[C:7]-[#7:6]-[N;H0;D2;+0:5]=[CH;D2;+0:1]-[C:2]=[C:3]-[c:4]>>O=[CH;D2;+0:1]-[C:2]=[C:3]-[c:4].[NH2;D1;+0:5]-[#7:6]-[C:7]=[O;D1;H0:8]
UNK,[#8:4]-[C:3](-[#8:5])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[O;H0;D2;+0:7]-[C:6]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3](-[#8:4])-[#8:5].[C:6]-[OH;D1;+0:7]
UNK,[#7;a:2]:[c;H0;D3;+0:1](-[NH;D2;+0:8]-[C:7]=[N;D1;H1:6]):[c:3]:[c:4]:[#7;a:5]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[c:4]:[#7;a:5].[N;D1;H1:6]=[C:7]-[NH2;D1;+0:8]
UNK,[#7;a:1]:[c:2](:[#8;a:3])-[CH2;D2;+0:4]-[CH;D3;+0:5](-[C:6])-[C:7]>>[#7;a:1]:[c:2](:[#8;a:3])-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6])-[C:7]
UNK,[#7:5]-[C:6](=[O;D1;H0:7])-[C:8]-[N;H0;D3;+0:9](-[C:10])-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4].[#7:5]-[C:6](=[O;D1;H0:7])-[C:8]-[NH;D2;+0:9]-[C:10]
UNK,[C:1]-[CH2;D2;+0:2]-[NH;D2;+0:5]-[C;H0;D3;+0:3](=[O;H0;D1;+0:6])-[c:4]>>[C:1]-[CH2;D2;+0:2]-[C;H0;D3;+0:3](-[c:4])=[N;H0;D2;+0:5]-[OH;D1;+0:6]
UNK,[#7;a:4]:[c:3](:[#7;a:5]):[c;H0;D3;+0:1](:[#7;a:2])-[NH;D2;+0:7]-[C:6]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3](:[#7;a:4]):[#7;a:5].[C:6]-[NH2;D1;+0:7]
UNK,[#16:7]-[N;H0;D3;+0:8](-[C@@H;D3;+0:9](-[C:10])-[C;D1;H3:11])-[c;H0;D3;+0:1](:[c:2]):[c:3]-[C:4](-[#7:5])=[O;D1;H0:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]-[C:4](-[#7:5])=[O;D1;H0:6].[#16:7]-[NH;D2;+0:8]-[CH;D3;+0:9](-[C:10])-[C;D1;H3:11]
UNK,[C:4]=[#7:5]-[N;H0;D3;+0:6](-[C:7])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C:4]=[#7:5]-[NH;D2;+0:6]-[C:7]
UNK,[#16;a:5]:[c:6](:[#7;a:7])-[NH;D2;+0:8]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#16;a:4]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#16;a:4].[#16;a:5]:[c:6](:[#7;a:7])-[NH2;D1;+0:8]
UNK,[#16;a:5]:[c:6](:[#7;a:7])-[NH;D2;+0:8]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#8;a:4]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#8;a:4].[#16;a:5]:[c:6](:[#7;a:7])-[NH2;D1;+0:8]
UNK,[C:6]-[N;H0;D3;+0:7](-[C:8])-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:1>>Br-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:1.[C:6]-[NH;D2;+0:7]-[C:8]
UNK,[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>C-C1(-C)-O-B(-[c;H0;D3;+0:1](:[c:2]):[c:3])-O-C-1(-C)-C.Cl-[c;H0;D3;+0:4](:[c:5]):[c:6]
UNK,[#7;a:2]:[c;H0;D3;+0:1](-[O;H0;D2;+0:5]-[c:6]):[c:3]:[#7;a:4]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4].[OH;D1;+0:5]-[c:6]
UNK,[#16;a:3]:[c:2](-[CH2;D2;+0:1]-[NH;D2;+0:6]-[c:7]):[c:4]:[#7;a:5]>>O=[CH;D2;+0:1]-[c:2](:[#16;a:3]):[c:4]:[#7;a:5].[NH2;D1;+0:6]-[c:7]
UNK,[C:2]-[NH2+;D2:1]-[C:3]>>C-C(-C)(-C)-O-C(=O)-[N;H0;D3;+0:1](-[C:2])-[C:3]
UNK,[#7:4]-[C:3](=[O;D1;H0:5])-[CH;D3;+0:1](-[C:2])-[N;H0;D2;+0:6]=[#7;+:7]=[N;-;D1;H0:8]>>I-[CH;D3;+0:1](-[C:2])-[C:3](-[#7:4])=[O;D1;H0:5].[N-;H0;D1:6]=[#7;+:7]=[N;-;D1;H0:8]
UNK,[#7;a:4]:[c:5](:[#7;a:7]:[#7;a:8])-[S;H0;D2;+0:6]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5](-[SH;D1;+0:6]):[#7;a:7]:[#7;a:8]
UNK,[#16:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[O;H0;D2;+0:5]-[C:4]>>[#16:1]-[CH;D2;+0:2]=[CH2;D1;+0:3].[C:4]-[OH;D1;+0:5]
UNK,[#7:4]-[C:3]=[C;H0;D3;+0:1](-[C:2])/[CH;D2;+0:5]=[C:6]/[C;D1;H3:7]>>F-C(-F)(-F)-S(=O)(=O)-O-[C;H0;D3;+0:1](-[C:2])=[C:3]-[#7:4].O-B(-O)/[CH;D2;+0:5]=[C:6]/[C;D1;H3:7]
UNK,[#7;a:3]:[c:4]-[O;H0;D2;+0:5]-[CH2;D2;+0:1]-[C:2]>>Br-[CH2;D2;+0:1]-[C:2].[#7;a:3]:[c:4]-[OH;D1;+0:5]
UNK,[#7;a:1]:[c:2]:[c:3]-[CH;D3;+0:4](-[C;D1;H3:5])-[OH;D1;+0:6]>>[#7;a:1]:[c:2]:[c:3]-[C;H0;D3;+0:4](-[C;D1;H3:5])=[O;H0;D1;+0:6]
UNK,[#16:4]-[N;H0;D3;+0:5](-[#8:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3].[#16:4]-[NH;D2;+0:5]-[#8:6]
UNK,[#7:4]-[C:5]-[C@@H;D3;+0:6](-[C:7])-[C:8].[C:9]-[C@H;D3;+0:10](-[C:11])-[C:12]-[N;H0;D3;+0:13](-[C:14])-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3]>>O=[C;H0;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].[#7:4]-[C:5]-[C@H;D3;+0:6](-[C:7])-[C:8].[C:9]-[C@@H;D3;+0:10](-[C:11])-[C:12]-[NH;D2;+0:13]-[C:14]
UNK,[#7;a:5]:[c;H0;D3;+0:4](:[c:6])/[CH;D2;+0:1]=[C:2]/[C:3]>>C-C1(-C)-O-B(/[CH;D2;+0:1]=[C:2]/[C:3])-O-C-1(-C)-C.Cl-[c;H0;D3;+0:4](:[#7;a:5]):[c:6]
UNK,[#16;a:1]:[c:2]-[CH2;D2;+0:3]-[NH2;D1;+0:4]>>[#16;a:1]:[c:2]-[C;H0;D2;+0:3]#[N;H0;D1;+0:4]
UNK,[#7;a:7]:[c:6]:[c:3](:[c:4]:[#7;a:5])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:8]-[c:9]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[c:4]:[#7;a:5]):[c:6]:[#7;a:7].[NH2;D1;+0:8]-[c:9]
UNK,[c:2]:[c;H0;D3;+0:1](:[c:3])-[n;H0;D3;+0:5](:[c:4]):[c:6]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[c:4]:[nH;D2;+0:5]:[c:6]
UNK,[#16;a:1]:[c:2]:[c:3]-[CH;D3;+0:4](-[C:5])-[CH;D3;+0:6](-[C:7]-[#7:8])-[C:9](-[#8:10])=[O;D1;H0:11]>>[#16;a:1]:[c:2]:[c:3]-[C;H0;D3;+0:4](-[C:5])=[C;H0;D3;+0:6](-[C:7]-[#7:8])-[C:9](-[#8:10])=[O;D1;H0:11]
UNK,[#7:6]-[NH;D2;+0:7]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#7;a:4]:[#7;a:5]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#7;a:4]:[#7;a:5].[#7:6]-[NH2;D1;+0:7]
UNK,[#7;a:5]:[c:6]:[c:7]-[O;H0;D2;+0:8]-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4]>>Br-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4].[#7;a:5]:[c:6]:[c:7]-[OH;D1;+0:8]
UNK,[#7:4]-[C:3]-[CH2;D2;+0:1]-[OH;D1;+0:2]>>C-C-O-C(=O)-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[C:3]-[#7:4]
UNK,[C;D1;H3:3]-[C:4](=[O;D1;H0:6])-[O;H0;D2;+0:5]-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[C;D1;H3:3]-[C:4](-[O-;H0;D1:5])=[O;D1;H0:6]
UNK,[#16:1]-[NH;D2;+0:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[c:5]>>[#16:1]-[NH2;D1;+0:2].[O-]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[c:5]
UNK,[#7;a:5]:[c:6]:[c:7]-[N;H0;D3;+0:8](-[C:9])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#8;a:4]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#8;a:4].[#7;a:5]:[c:6]:[c:7]-[NH;D2;+0:8]-[C:9]
UNK,[#7;a:2]:[c:3]:[c:4](:[c:8]:[#7;a:9])-[N;H0;D3;+0:5](-[CH3;D1;+0:1])-[C:6]=[O;D1;H0:7]>>I-[CH3;D1;+0:1].[#7;a:2]:[c:3]:[c:4](-[NH;D2;+0:5]-[C:6]=[O;D1;H0:7]):[c:8]:[#7;a:9]
UNK,[#8:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:9](=[O;D1;H0:10])/[C:8]=[C:7]/[C:6]>>[#8:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH2;D1;+0:5].[C:6]/[C:7]=[C:8]/[C;H0;D3;+0:9](-[O-])=[O;D1;H0:10]
UNK,[#8:1]-[C:2]-[CH2;D2;+0:3]-[CH;D3;+0:4](-[c:5])-[c:6]>>[#8:1]-[C:2]-[CH;D2;+0:3]=[C;H0;D3;+0:4](-[c:5])-[c:6]
UNK,[#8:4]-[C:3](=[O;D1;H0:5])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:7](-[C:6])-[C;D1;H3:8]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3](-[#8:4])=[O;D1;H0:5].[C:6]-[NH;D2;+0:7]-[C;D1;H3:8]
UNK,[#16:5]-[NH;D2;+0:6]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]-[#7:4]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]-[#7:4].[#16:5]-[NH2;D1;+0:6]
UNK,[#7;a:5]:[c:6]-[N;H0;D3;+0:7](-[C:8])-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[#7;a:5]:[c:6]-[NH;D2;+0:7]-[C:8]
UNK,[C;D1;H2:3]=[C:2]-[CH2;D2;+0:1]-[n;H0;D3;+0:6]1:[c:5]:[#7;a:4]:[c:8]:[c:7]:1>>Br-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3].[#7;a:4]1:[c:5]:[nH;D2;+0:6]:[c:7]:[c:8]:1
UNK,[#7;a:6]:[c:7]1:[c:8]:[#7;a:9]:[#7;a:10]:[n;H0;D3;+0:11]:1-[CH2;D2;+0:1]-[c:2](:[#7;a:3]):[#7;a:4]:[#7;a:5]>>Cl-[CH2;D2;+0:1]-[c:2](:[#7;a:3]):[#7;a:4]:[#7;a:5].[#7;a:6]:[c:7]1:[c:8]:[#7;a:9]:[#7;a:10]:[nH;D2;+0:11]:1
